index,IR,BPM,AvgBPM,EMG,state
220,100632,53.57,35,967,REST
221,100633,53.57,35,962,REST
222,100634,53.57,35,971,REST
223,100634,53.57,35,966,REST
224,100644,53.57,35,965,REST
225,100635,53.57,35,966,REST
226,100626,53.57,35,971,REST
227,100630,53.57,35,969,REST
228,100640,53.57,35,966,REST
229,100619,53.57,35,966,REST
230,100616,53.57,35,966,REST
231,100603,53.57,35,971,REST
232,100589,53.57,35,969,REST
233,100567,53.57,35,967,REST
234,100559,53.57,35,967,REST
235,100552,53.57,35,962,REST
236,100546,53.57,35,966,REST
237,100542,53.57,35,962,REST
238,100535,53.57,35,969,REST
239,100547,53.57,35,965,REST
240,100536,53.57,35,963,REST
241,100541,53.57,35,956,REST
242,100549,53.57,35,965,REST
243,100550,53.57,35,960,REST
244,100553,53.57,35,965,REST
245,100550,53.57,35,967,REST
246,100550,53.57,35,967,REST
247,100551,53.57,35,971,REST
248,100549,53.57,35,972,REST
249,100545,53.57,35,974,REST
250,100549,53.57,35,972,REST
251,100557,53.57,35,972,REST
252,100558,53.57,35,971,REST
253,100564,53.57,35,961,REST
254,100566,53.57,35,951,REST
255,100573,53.57,35,971,REST
256,100577,53.57,35,971,REST
257,100577,53.57,35,973,REST
258,100575,53.57,35,971,REST
259,100577,53.57,35,1023,REST
260,100581,53.57,35,965,REST
261,100581,53.57,35,967,REST
262,100587,53.57,35,966,REST
263,100584,53.57,35,965,REST
264,100573,53.57,35,967,REST
265,100561,53.57,35,955,REST
266,100555,53.57,35,966,REST
267,100550,53.57,35,966,REST
268,100539,39.01,45,961,REST
269,100523,39.01,45,969,REST
270,100519,39.01,45,965,REST
271,100511,39.01,45,964,REST
272,100512,39.01,45,965,REST
273,100518,39.01,45,967,REST
274,100523,39.01,45,960,REST
275,100525,39.01,45,961,REST
276,100526,39.01,45,959,REST
277,100530,39.01,45,971,REST
278,100536,39.01,45,971,REST
279,100526,39.01,45,960,REST
280,100514,39.01,45,965,REST
281,100525,39.01,45,963,REST
282,100517,39.01,45,962,REST
283,100509,39.01,45,965,REST
284,100517,39.01,45,960,REST
285,100509,39.01,45,962,REST
286,100518,39.01,45,966,REST
287,100510,39.01,45,963,REST
288,100508,39.01,45,962,REST
289,100519,39.01,45,951,REST
290,100512,39.01,45,963,REST
291,100511,39.01,45,961,REST
292,100519,39.01,45,967,REST
293,100515,39.01,45,967,REST
294,100506,39.01,45,965,REST
295,100516,39.01,45,962,REST
296,100502,39.01,45,962,REST
297,100496,39.01,45,965,REST
298,100493,39.01,45,961,REST
299,100490,39.01,45,960,REST
300,100471,39.01,45,960,REST
301,100444,39.01,45,962,REST
302,100432,39.01,45,960,REST
303,100432,39.01,45,960,REST
304,100425,39.01,45,959,REST
305,100408,39.01,45,959,REST
306,100414,39.01,45,988,REST
307,100396,39.01,45,959,REST
308,100416,39.01,45,959,REST
309,100406,39.01,45,961,REST
310,100417,39.01,45,960,REST
311,100414,39.01,45,959,REST
312,100408,39.01,45,960,REST
313,100396,39.01,45,960,REST
314,100409,39.01,45,961,REST
315,100401,39.01,45,961,REST
316,100401,39.01,45,960,REST
317,100405,39.01,45,949,REST
318,100407,39.01,45,959,REST
319,100402,39.01,45,959,REST
320,100411,39.01,45,960,REST
321,100410,39.01,45,965,REST
322,100412,39.01,45,963,REST
323,100414,39.01,45,962,REST
324,100410,39.01,45,960,REST
325,100408,39.01,45,960,REST
326,100414,39.01,45,966,REST
327,100409,39.01,45,963,REST
328,100416,39.01,45,960,REST
329,100411,39.01,45,962,REST
330,100427,39.01,45,960,REST
331,100429,39.01,45,965,REST
332,100427,39.01,45,960,REST
333,100429,39.01,45,967,REST
334,100413,39.01,45,971,REST
335,100397,39.01,45,965,REST
336,100392,39.01,45,969,REST
337,100381,39.01,45,959,REST
338,100375,39.01,45,1001,REST
339,100362,39.01,45,969,REST
340,100359,39.01,45,963,REST
341,100361,39.01,45,964,REST
342,100351,39.01,45,966,REST
343,100371,39.01,45,965,REST
344,100368,39.01,45,961,REST
345,100382,39.01,45,967,REST
346,100386,39.01,45,969,REST
347,100400,39.01,45,969,REST
348,100389,39.01,45,970,REST
349,100381,39.01,45,969,REST
350,100381,39.01,45,966,REST
351,100374,39.01,45,970,REST
352,100381,39.01,45,969,REST
353,100385,39.01,45,964,REST
354,100391,39.01,45,965,REST
355,100393,39.01,45,966,REST
356,100392,39.01,45,966,REST
357,100402,39.01,45,963,REST
358,100407,39.01,45,964,REST
359,100413,39.01,45,965,REST
360,100419,39.01,45,967,REST
361,100427,39.01,45,974,REST
362,100427,39.01,45,966,REST
363,100424,39.01,45,970,REST
364,100443,39.01,45,966,REST
365,100443,39.01,45,963,REST
366,100460,30.63,43,966,REST
367,100460,30.63,43,973,REST
368,100469,30.63,43,965,REST
369,100465,30.63,43,964,REST
370,100453,30.63,43,967,REST
371,100455,30.63,43,971,REST
372,100450,30.63,43,947,REST
373,100444,30.63,43,967,REST
374,100449,30.63,43,962,REST
375,100469,30.63,43,965,REST
376,100475,30.63,43,965,REST
377,100472,30.63,43,963,REST
378,100488,30.63,43,962,REST
379,100496,30.63,43,963,REST
380,100509,30.63,43,965,REST
381,100512,30.63,43,965,REST
382,100516,30.63,43,962,REST
383,100522,30.63,43,965,REST
384,100525,30.63,43,966,REST
385,100525,30.63,43,963,REST
386,100532,30.63,43,966,REST
387,100543,30.63,43,965,REST
388,100543,30.63,43,970,REST
389,100546,30.63,43,963,REST
390,100565,30.63,43,966,REST
391,100569,30.63,43,963,REST
392,100575,30.63,43,975,REST
393,100580,30.63,43,966,REST
394,100585,30.63,43,967,REST
395,100595,30.63,43,971,REST
396,100600,30.63,43,967,REST
397,100609,30.63,43,961,REST
398,100615,30.63,43,967,REST
399,100623,30.63,43,969,REST
400,100610,30.63,43,960,REST
401,100607,30.63,43,967,REST
402,100597,30.63,43,965,REST
403,100595,30.63,43,965,REST
404,100608,30.63,43,967,REST
405,100603,30.63,43,963,REST
406,100617,30.63,43,965,REST
407,100625,30.63,43,954,REST
408,100640,30.63,43,965,REST
409,100659,30.63,43,965,REST
410,100658,30.63,43,956,REST
411,100670,30.63,43,966,REST
412,100672,30.63,43,971,REST
413,100679,30.63,43,971,REST
414,100687,30.63,43,965,REST
415,100692,30.63,43,966,REST
416,100679,30.63,43,966,REST
417,100686,30.63,43,961,REST
418,100693,30.63,43,965,REST
419,100701,30.63,43,945,REST
420,100701,30.63,43,967,REST
421,100696,30.63,43,958,REST
422,100691,30.63,43,967,REST
423,100695,30.63,43,962,REST
424,100701,30.63,43,951,REST
425,100705,30.63,43,960,REST
426,100708,30.63,43,965,REST
427,100703,30.63,43,965,REST
428,100703,30.63,43,960,REST
429,100693,30.63,43,967,REST
430,100672,30.63,43,967,REST
431,100649,30.63,43,970,REST
432,100630,30.63,43,972,REST
433,100624,30.63,43,945,REST
434,100617,30.63,43,951,REST
435,100610,30.63,43,969,REST
436,100612,30.63,43,972,REST
437,100615,30.63,43,970,REST
438,100617,30.63,43,970,REST
439,100627,30.63,43,965,REST
440,100630,30.63,43,975,REST
441,100610,30.63,43,967,REST
442,100609,30.63,43,969,REST
443,100595,30.63,43,969,REST
444,100595,30.63,43,968,REST
445,100589,30.63,43,967,REST
446,100582,30.63,43,967,REST
447,100576,30.63,43,961,REST
448,100596,30.63,43,962,REST
449,100593,30.63,43,964,REST
450,100585,30.63,43,963,REST
451,100591,30.63,43,964,REST
452,100596,30.63,43,963,REST
453,100600,30.63,43,965,REST
454,100603,30.63,43,964,REST
455,100616,30.63,43,965,REST
456,100619,30.63,43,967,REST
457,100609,30.63,43,965,REST
458,100584,30.63,43,966,REST
459,100576,30.63,43,969,REST
460,100569,30.63,43,967,REST
461,100555,30.63,43,967,REST
462,100555,30.63,43,969,REST
463,100560,30.63,43,967,REST
464,100540,30.63,43,970,REST
465,100548,30.63,43,976,REST
466,100547,30.63,43,975,REST
467,100558,30.63,43,976,REST
468,100564,30.63,43,967,REST
469,100563,30.63,43,973,REST
470,100555,30.63,43,963,REST
471,100558,30.63,43,972,REST
472,100559,30.63,43,961,REST
473,100558,30.63,43,953,REST
474,100566,30.63,43,973,REST
475,100565,30.63,43,975,REST
476,100563,30.63,43,971,REST
477,100569,30.63,43,971,REST
478,100559,30.63,43,966,REST
479,100560,30.63,43,967,REST
480,100556,30.63,43,966,REST
481,100574,30.63,43,974,REST
482,100583,30.63,43,971,REST
483,100577,30.63,43,973,REST
484,100574,30.63,43,974,REST
485,100574,30.63,43,975,REST
486,100567,30.63,43,976,REST
487,100549,30.63,43,970,REST
488,100522,30.63,43,971,REST
489,100513,30.63,43,967,REST
490,100507,30.63,43,976,REST
491,100498,30.63,43,974,REST
492,100492,30.63,43,967,REST
493,100497,30.63,43,971,REST
494,100506,30.63,43,975,REST
495,100510,30.63,43,971,REST
496,100499,30.63,43,972,REST
497,100503,30.63,43,974,REST
498,100500,30.63,43,967,REST
499,100490,30.63,43,971,REST
500,100485,30.63,43,972,REST
501,100472,30.63,43,974,REST
502,100475,30.63,43,976,REST
503,100469,30.63,43,976,REST
504,100465,30.63,43,977,REST
505,100465,30.63,43,974,REST
506,100463,30.63,43,976,REST
507,100459,30.63,43,976,REST
508,100465,30.63,43,973,REST
509,100461,30.63,43,973,REST
510,100466,30.63,43,973,REST
511,100457,30.63,43,975,REST
512,100463,30.63,43,973,REST
513,100458,30.63,43,976,REST
514,100455,30.63,43,965,REST
515,100448,30.63,43,971,REST
516,100432,30.63,43,967,REST
517,100410,30.63,43,969,REST
518,100401,30.63,43,971,REST
519,100401,30.63,43,973,REST
520,100408,30.63,43,974,REST
521,100397,30.63,43,969,REST
522,100401,30.63,43,971,REST
523,100405,30.63,43,970,REST
524,100406,30.63,43,975,REST
525,100413,30.63,43,971,REST
526,100421,30.63,43,976,REST
527,100415,30.63,43,976,REST
528,100419,30.63,43,971,REST
529,100416,30.63,43,970,REST
530,100414,30.63,43,971,REST
531,100417,30.63,43,975,REST
532,100416,30.63,43,969,REST
533,100416,30.63,43,973,REST
534,100418,30.63,43,975,REST
535,100424,30.63,43,976,REST
536,100411,30.63,43,979,REST
537,100415,30.63,43,971,REST
538,100426,30.63,43,967,REST
539,100422,30.63,43,969,REST
540,100426,30.63,43,967,REST
541,100440,30.63,43,965,REST
542,100437,30.63,43,966,REST
543,100444,30.63,43,966,REST
544,100445,30.63,43,970,REST
545,100430,30.63,43,969,REST
546,100414,30.63,43,967,REST
547,100406,30.63,43,970,REST
548,100385,30.63,43,969,REST
549,100381,30.63,43,969,REST
550,100377,30.63,43,976,REST
551,100378,30.63,43,979,REST
552,100372,30.63,43,976,REST
553,100383,30.63,43,976,REST
554,100394,30.63,43,983,REST
555,100406,30.63,43,976,REST
556,100406,30.63,43,976,REST
557,100408,30.63,43,979,REST
558,100401,30.63,43,981,REST
559,100408,30.63,43,977,REST
560,100405,30.63,43,980,REST
561,100403,30.63,43,979,REST
562,100407,30.63,43,982,REST
563,100396,30.63,43,984,REST
564,100398,30.63,43,977,REST
565,100410,30.63,43,976,REST
566,100407,30.63,43,977,REST
567,100402,30.63,43,977,REST
568,100417,30.63,43,978,REST
569,100424,30.63,43,979,REST
570,100424,30.63,43,978,REST
571,100418,30.63,43,976,REST
572,100439,30.63,43,976,REST
573,100431,30.63,43,981,REST
574,100451,30.63,43,976,REST
575,100449,30.63,43,977,REST
576,100445,14.30,43,976,REST
577,100434,14.30,43,976,REST
578,100428,14.30,43,976,REST
579,100422,14.30,43,974,REST
580,100425,14.30,43,977,REST
581,100418,14.30,43,977,REST
582,100429,14.30,43,976,REST
583,100430,14.30,43,976,REST
584,100441,14.30,43,976,REST
585,100442,14.30,43,975,REST
586,100463,14.30,43,978,REST
587,100479,14.30,43,976,REST
588,100478,14.30,43,974,REST
589,100467,14.30,43,974,REST
590,100481,14.30,43,971,REST
591,100490,14.30,43,976,REST
592,100489,14.30,43,973,REST
593,100494,14.30,43,970,REST
594,100500,14.30,43,973,REST
595,100512,14.30,43,973,REST
596,100508,14.30,43,970,REST
597,100526,14.30,43,972,REST
598,100535,14.30,43,975,REST
599,100535,14.30,43,971,REST
600,100550,14.30,43,976,REST
601,100545,14.30,43,974,REST
602,100556,14.30,43,969,REST
603,100565,14.30,43,971,REST
604,100581,14.30,43,975,REST
605,100589,14.30,43,969,REST
606,100587,14.30,43,966,REST
607,100580,14.30,43,970,REST
608,100573,14.30,43,963,REST
609,100560,14.30,43,994,REST
610,100566,14.30,43,975,REST
611,100563,14.30,43,974,REST
612,100577,14.30,43,973,REST
613,100586,14.30,43,974,REST
614,100589,14.30,43,964,REST
615,100607,14.30,43,962,REST
616,100621,14.30,43,969,REST
617,100622,14.30,43,966,REST
618,100627,14.30,43,970,REST
619,100637,14.30,43,955,REST
620,100626,14.30,43,975,REST
621,100627,14.30,43,976,REST
622,100621,14.30,43,970,REST
623,100634,14.30,43,967,REST
624,100625,14.30,43,969,REST
625,100633,14.30,43,973,REST
626,100629,14.30,43,963,REST
627,100640,14.30,43,967,REST
628,100639,14.30,43,970,REST
629,100633,14.30,43,949,REST
630,100628,14.30,43,960,REST
631,100638,14.30,43,994,REST
632,100643,14.30,43,969,REST
633,100661,14.30,43,971,REST
634,100640,14.30,43,973,REST
635,100657,14.30,43,969,REST
636,100646,14.30,43,944,REST
637,100638,14.30,43,973,REST
638,100621,14.30,43,970,REST
639,100611,14.30,43,961,REST
640,100597,14.30,43,973,REST
641,100578,14.30,43,962,REST
642,100582,14.30,43,961,REST
643,100585,14.30,43,967,REST
644,100581,14.30,43,967,REST
645,100585,14.30,43,967,REST
646,100591,14.30,43,969,REST
647,100592,14.30,43,963,REST
648,100596,14.30,43,974,REST
649,100585,14.30,43,970,REST
650,100587,14.30,43,971,REST
651,100571,14.30,43,967,REST
652,100570,14.30,43,973,REST
653,100556,14.30,43,978,REST
654,100569,14.30,43,967,REST
655,100557,14.30,43,969,REST
656,100566,14.30,43,965,REST
657,100559,14.30,43,970,REST
658,100569,14.30,43,970,REST
659,100568,14.30,43,965,REST
660,100567,14.30,43,965,REST
661,100582,14.30,43,967,REST
662,100590,14.30,43,976,REST
663,100593,14.30,43,963,REST
664,100594,14.30,43,965,REST
665,100597,14.30,43,963,REST
666,100597,14.30,43,964,REST
667,100584,14.30,43,960,REST
668,100567,14.30,43,963,REST
669,100555,14.30,43,965,REST
670,100551,14.30,43,957,REST
671,100542,14.30,43,965,REST
672,100546,14.30,43,960,REST
673,100554,14.30,43,969,REST
674,100555,14.30,43,966,REST
675,100561,14.30,43,963,REST
676,100572,14.30,43,962,REST
677,100580,14.30,43,960,REST
678,100569,14.30,43,961,REST
679,100576,14.30,43,963,REST
680,100569,14.30,43,962,REST
681,100573,14.30,43,965,REST
682,100571,14.30,43,964,REST
683,100563,14.30,43,963,REST
684,100576,14.30,43,960,REST
685,100579,14.30,43,963,REST
686,100577,14.30,43,967,REST
687,100581,14.30,43,962,REST
688,100580,14.30,43,965,REST
689,100590,14.30,43,961,REST
690,100590,14.30,43,966,REST
691,100586,14.30,43,963,REST
692,100599,14.30,43,960,REST
693,100604,25.66,36,961,REST
694,100609,25.66,36,960,REST
695,100609,25.66,36,960,REST
696,100623,25.66,36,959,REST
697,100610,25.66,36,962,REST
698,100594,25.66,36,964,REST
699,100581,25.66,36,960,REST
700,100572,25.66,36,962,REST
701,100561,25.66,36,961,REST
702,100557,25.66,36,962,REST
703,100560,25.66,36,963,REST
704,100553,25.66,36,961,REST
705,100563,25.66,36,963,REST
706,100557,25.66,36,966,REST
707,100565,25.66,36,965,REST
708,100567,25.66,36,962,REST
709,100565,25.66,36,959,REST
710,100551,25.66,36,964,REST
711,100550,25.66,36,965,REST
712,100546,25.66,36,963,REST
713,100547,25.66,36,963,REST
714,100526,25.66,36,964,REST
715,100520,25.66,36,960,REST
716,100525,25.66,36,962,REST
717,100517,25.66,36,959,REST
718,100521,25.66,36,964,REST
719,100525,25.66,36,967,REST
720,100522,25.66,36,964,REST
721,100521,25.66,36,963,REST
722,100530,25.66,36,965,REST
723,100545,25.66,36,967,REST
724,100534,25.66,36,962,REST
725,100546,25.66,36,966,REST
726,100543,25.66,36,966,REST
727,100540,25.66,36,961,REST
728,100525,25.66,36,962,REST
729,100490,25.66,36,965,REST
730,100486,25.66,36,960,REST
731,100472,25.66,36,964,REST
732,100475,25.66,36,966,REST
733,100477,25.66,36,964,REST
734,100476,25.66,36,966,REST
735,100473,25.66,36,960,REST
736,100481,25.66,36,963,REST
737,100482,25.66,36,962,REST
738,100497,25.66,36,960,REST
739,100499,25.66,36,965,REST
740,100503,25.66,36,965,REST
741,100496,25.66,36,961,REST
742,100499,25.66,36,965,REST
743,100493,25.66,36,961,REST
744,100499,25.66,36,963,REST
745,100489,25.66,36,969,REST
746,100491,25.66,36,963,REST
747,100500,25.66,36,982,REST
748,100494,25.66,36,962,REST
749,100501,25.66,36,964,REST
750,100510,25.66,36,950,REST
751,100510,25.66,36,961,REST
752,100510,25.66,36,960,REST
753,100519,25.66,36,967,REST
754,100521,25.66,36,962,REST
755,100522,25.66,36,961,REST
756,100537,25.66,36,960,REST
757,100531,25.66,36,963,REST
758,100537,25.66,36,933,REST
759,100534,25.66,36,961,REST
760,100519,25.66,36,963,REST
761,100515,44.15,34,966,REST
762,100506,44.15,34,956,REST
763,100484,44.15,34,962,REST
764,100499,44.15,34,945,REST
765,100486,44.15,34,960,REST
766,100477,44.15,34,962,REST
767,100481,44.15,34,961,REST
768,100483,44.15,34,962,REST
769,100495,44.15,34,960,REST
770,100499,44.15,34,960,REST
771,100497,44.15,34,961,REST
772,100506,44.15,34,978,REST
773,100501,44.15,34,961,REST
774,100501,44.15,34,959,REST
775,100506,44.15,34,965,REST
776,100500,44.15,34,962,REST
777,100501,44.15,34,962,REST
778,100494,44.15,34,963,REST
779,100494,44.15,34,962,REST
780,100491,44.15,34,963,REST
781,100505,44.15,34,965,REST
782,100502,44.15,34,965,REST
783,100505,44.15,34,962,REST
784,100506,44.15,34,960,REST
785,100506,44.15,34,961,REST
786,100510,44.15,34,960,REST
787,100512,44.15,34,961,REST
788,100512,44.15,34,960,REST
789,100516,44.15,34,970,REST
790,100520,44.15,34,962,REST
791,100530,44.15,34,960,REST
792,100518,96.77,48,962,REST
793,100496,96.77,48,964,REST
794,100485,96.77,48,963,REST
795,100477,96.77,48,963,REST
796,100461,96.77,48,964,REST
797,100457,96.77,48,962,REST
798,100460,96.77,48,960,REST
799,100450,96.77,48,962,REST
800,100450,96.77,48,963,REST
801,100451,96.77,48,963,REST
802,100459,96.77,48,960,REST
803,100460,96.77,48,962,REST
804,100465,96.77,48,973,REST
805,100461,96.77,48,960,REST
806,100472,96.77,48,961,REST
807,100470,96.77,48,967,REST
808,100470,96.77,48,964,REST
809,100468,96.77,48,961,REST
810,100472,96.77,48,962,REST
811,100469,96.77,48,961,REST
812,100480,96.77,48,961,REST
813,100473,96.77,48,960,REST
814,100484,96.77,48,963,REST
815,100488,96.77,48,966,REST
816,100493,96.77,48,962,REST
817,100504,96.77,48,963,REST
818,100501,96.77,48,963,REST
819,100509,96.77,48,960,REST
820,100514,96.77,48,960,REST
821,100523,96.77,48,966,REST
822,100531,96.77,48,974,REST
823,100530,96.77,65,960,REST
824,100541,96.77,65,961,REST
825,100538,96.77,65,962,REST
826,100545,96.77,65,963,REST
827,100523,96.77,65,960,REST
828,100508,96.77,65,960,REST
829,100501,96.77,65,961,REST
830,100490,96.77,65,963,REST
831,100493,96.77,65,961,REST
832,100503,96.77,65,962,REST
833,100513,96.77,65,961,REST
834,100507,96.77,65,960,REST
835,100519,96.77,65,963,REST
836,100523,96.77,65,960,REST
837,100526,96.77,65,962,REST
838,100533,96.77,65,961,REST
839,100524,96.77,65,963,REST
840,100525,96.77,65,963,REST
841,100527,96.77,65,963,REST
842,100517,96.77,65,962,REST
843,100516,96.77,65,963,REST
844,100523,96.77,65,963,REST
845,100525,96.77,65,961,REST
846,100527,96.77,65,960,REST
847,100529,96.77,65,958,REST
848,100535,96.77,65,961,REST
849,100543,96.77,65,958,REST
850,100553,96.77,65,959,REST
851,100555,96.77,65,961,REST
852,100556,96.77,65,959,REST
853,100558,96.77,65,961,REST
854,100560,96.77,65,961,REST
855,100560,96.77,65,962,REST
856,100564,96.77,65,961,REST
857,100573,96.77,65,960,REST
858,100574,96.77,65,962,REST
859,100575,96.77,65,961,REST
860,100564,96.77,65,966,REST
861,100549,96.77,65,951,REST
862,100523,96.77,65,955,REST
863,100517,96.77,65,962,REST
864,100499,96.77,65,963,REST
865,100498,96.77,65,962,REST
866,100484,96.77,65,960,REST
867,100496,96.77,65,957,REST
868,100494,96.77,65,965,REST
869,100511,96.77,65,960,REST
870,100510,96.77,65,963,REST
871,100511,96.77,65,962,REST
